    0.0000000000000000E+00     0.0000000000000000E+00     0.0000000000000000E+00
    0.1251732608957140E+00     0.1255921827423844E-01     0.2476578579820032E+00
    0.2500452903124026E+00     0.2511280835764605E-01     0.4937445688098923E+00
    0.3746175165865982E+00     0.3766079642076627E-01     0.7382652784206544E+00
    0.4988913865957730E+00     0.5020321134435597E-01     0.9812251524760041E+00
    0.6228683648359863E+00     0.6274008464077384E-01     0.1222629374042467E+01
    0.7465499325091688E+00     0.7527145037543832E-01     0.1462483141316565E+01
    0.8699375866215179E+00     0.8779734508851611E-01     0.1700791665397789E+01
    0.9930328390943501E+00     0.1003178077169910E+00     0.1937560168111699E+01
    0.1115837215888628E+01     0.1128328795172520E+00     0.2172793879885213E+01
    0.1238352256144254E+01     0.1253426039883282E+00     0.2406498037675811E+01
    0.1360579511335120E+01     0.1378470267958882E+00     0.2638677882956149E+01
    0.1482520544440759E+01     0.1503461956971114E+00     0.2869338659755252E+01
    0.1604176929135371E+01     0.1628401604665274E+00     0.3098485612757262E+01
    0.1725550248994867E+01     0.1753289728229126E+00     0.3326123985458437E+01
    0.1846642096722496E+01     0.1878126863573207E+00     0.3552259018382909E+01
    0.1967454073393500E+01     0.2002913564623181E+00     0.3776895947357476E+01
    0.2087987787719191E+01     0.2127650402624858E+00     0.4000040001845536E+01
    0.2208244855330739E+01     0.2252337965462388E+00     0.4221696403340094E+01
    0.2328226898082876E+01     0.2376976856990121E+00     0.4441870363815582E+01
    0.2447935543377687E+01     0.2501567696378496E+00     0.4660567084238131E+01
    0.2567372423508542E+01     0.2626111117474289E+00     0.4877791753133768E+01
    0.2686539175024209E+01     0.2750607768175479E+00     0.5093549545213903E+01
    0.2805437438113107E+01     0.2875058309820931E+00     0.5307845620057346E+01
    0.2924068856007602E+01     0.2999463416595040E+00     0.5520685120848031E+01
    0.3042435074408227E+01     0.3123823774947433E+00     0.5732073173167498E+01
    0.3160537740927635E+01     0.3248140083027783E+00     0.5942014883841138E+01
    0.3278378504554087E+01     0.3372413050135730E+00     0.6150515339837125E+01
    0.3395959015134201E+01     0.3496643396185886E+00     0.6357579607216914E+01
    0.3513280922874713E+01     0.3620831851187850E+00     0.6563212730136112E+01
    0.3630345877862916E+01     0.3744979154741135E+00     0.6767419729894533E+01
    0.3747155529605459E+01     0.3869086055544869E+00     0.6970205604034163E+01
    0.3863711526585151E+01     0.3993153310922121E+00     0.7171575325483782E+01
    0.3980015515835404E+01     0.4117181686358665E+00     0.7371533841748932E+01
    0.4096069142531920E+01     0.4241171955055972E+00     0.7570086074145949E+01
    0.4211874049601237E+01     0.4365124897498228E+00     0.7767236917078717E+01
    0.4327431877345718E+01     0.4489041301033111E+00     0.7962991237356851E+01
    0.4442744263084561E+01     0.4612921959466103E+00     0.8157353873553985E+01
    0.4557812840810429E+01     0.4736767672668046E+00     0.8350329635404847E+01
    0.4672639240861237E+01     0.4860579246195681E+00     0.8541923303239834E+01
    0.4787225089606708E+01     0.4984357490924883E+00     0.8732139627455785E+01
    0.4901572009149231E+01     0.5108103222696291E+00     0.8920983328021695E+01
    0.5015681617038610E+01     0.5231817261973039E+00     0.9108459094018089E+01
    0.5129555526000264E+01     0.5355500433510293E+00     0.9294571583208841E+01
    0.5243195343676457E+01     0.5479153566036276E+00     0.9479325421644212E+01
    0.5356602672380133E+01     0.5602777491944470E+00     0.9662725203293920E+01
    0.5469779108860928E+01     0.5726373046996703E+00     0.9844775489709068E+01
    0.5582726244082952E+01     0.5849941070036796E+00     0.1002548080971180E+02
    0.5695445663013933E+01     0.5973482402714454E+00     0.1020484565911154E+02
    0.5807938944425312E+01     0.6096997889219119E+00     0.1038287450044681E+02
    0.5920207660702903E+01     0.6220488376023454E+00     0.1055957176275144E+02
    0.6032253377667720E+01     0.6343954711636165E+00     0.1073494184134423E+02
    0.6144077654406597E+01     0.6467397746363861E+00     0.1090898909764111E+02
    0.6255682043112224E+01     0.6590818332081652E+00     0.1108171785898864E+02
    0.6367068088932244E+01     0.6714217322012198E+00     0.1125313241851815E+02
    0.6478237329827034E+01     0.6837595570512918E+00     0.1142323703501940E+02
    0.6589191296435853E+01     0.6960953932871069E+00     0.1159203593283301E+02
    0.6699931511950988E+01     0.7084293265106433E+00     0.1175953330176074E+02
    0.6810459491999588E+01     0.7207614423781322E+00     0.1192573329699285E+02
    0.6920776744532867E+01     0.7330918265817649E+00     0.1209064003905164E+02
    0.7030884769722345E+01     0.7454205648320784E+00     0.1225425761375052E+02
    0.7140785059862844E+01     0.7577477428409962E+00     0.1241659007216784E+02
    0.7250479099281938E+01     0.7700734463054971E+00     0.1257764143063467E+02
    0.7359968364255570E+01     0.7823977608918892E+00     0.1273741567073596E+02
    0.7469254322929562E+01     0.7947207722206641E+00     0.1289591673932438E+02
    0.7578338435246747E+01     0.8070425658519084E+00     0.1305314854854619E+02
    0.7687222152879471E+01     0.8193632272712504E+00     0.1320911497587850E+02
    0.7795906919167206E+01     0.8316828418763189E+00     0.1336381986417745E+02
    0.7904394169059032E+01     0.8440014949636928E+00     0.1351726702173654E+02
    0.8012685329060766E+01     0.8563192717163212E+00     0.1366946022235485E+02
    0.8120781817186483E+01     0.8686362571913933E+00     0.1382040320541432E+02
    0.8228685042914247E+01     0.8809525363086377E+00     0.1397009967596586E+02
    0.8336396407145806E+01     0.8932681938390330E+00     0.1411855330482361E+02
    0.8443917302170064E+01     0.9055833143939097E+00     0.1426576772866710E+02
    0.8551249111630140E+01     0.9178979824144260E+00     0.1441174655015063E+02
