    0.0000000000000000E+00     0.0000000000000000E+00
    0.1948632020948373E+00     0.1385858267140668E-01
    0.3892342510528564E+00     0.2806310912303144E-01
    0.5831146196002395E+00     0.4261186785221779E-01
    0.7765058050408729E+00     0.5750316003231738E-01
    0.9694093280651470E+00     0.7273529959002799E-01
    0.1161826731574145E+01     0.8830661327270985E-01
    0.1353759579520550E+01     0.1042154407059677E+00
    0.1545209455767469E+01     0.1204601344417928E+00
    0.1736177962966259E+01     0.1370390599975648E+00
    0.1926666721454310E+01     0.1539505958862174E+00
    0.2116677368173649E+01     0.1711931336378749E+00
    0.2306211555611094E+01     0.1887650778132669E+00
    0.2495270950760602E+01     0.2066648460092308E+00
    0.2683857234108363E+01     0.2248908688566092E+00
    0.2871972098641083E+01     0.2434415900108475E+00
    0.3059617248877827E+01     0.2623154661355969E+00
    0.3246794399925703E+01     0.2815109668796197E+00
    0.3433505276559588E+01     0.3010265748472959E+00
    0.3619751612326054E+01     0.3208607855630189E+00
    0.3805535148671539E+01     0.3410121074297676E+00
    0.3990857634094786E+01     0.3614790616821338E+00
    0.4175720823323499E+01     0.3822601823340783E+00
    0.4360126476515116E+01     0.4033540161216824E+00
    0.4544076358481550E+01     0.4247591224411538E+00
    0.4727572237937702E+01     0.4464740732823403E+00
    0.4910615886773526E+01     0.4684974531579954E+00
    0.5093209079349361E+01     0.4908278590290343E+00
    0.5275353591814245E+01     0.5134639002260084E+00
    0.5457051201446872E+01     0.5364041983670228E+00
    0.5638303686018841E+01     0.5596473872723082E+00
    0.5819112823179820E+01     0.5831921128756563E+00
    0.5999480389864220E+01     0.6070370331329153E+00
    0.6179408161718979E+01     0.6311808179277389E+00
    0.6358897912552010E+01     0.6556221489747698E+00
    0.6537951413800881E+01     0.6803597197204353E+00
    0.6716570434021279E+01     0.7053922352415236E+00
    0.6894756738394785E+01     0.7307184121417009E+00
    0.7072512088255504E+01     0.7563369784461244E+00
    0.7249838240635087E+01     0.7822466734942988E+00
    0.7426736947825650E+01     0.8084462478313158E+00
    0.7603209956960136E+01     0.8349344630976109E+00
    0.7779259009609639E+01     0.8617100919173650E+00
    0.7954885841397214E+01     0.8887719177856725E+00
    0.8130092181627704E+01     0.9161187349545894E+00
    0.8304879752933120E+01     0.9437493483181723E+00
    0.8479250270933104E+01     0.9716625732966113E+00
    0.8653205443910023E+01     0.9998572357195553E+00
    0.8826746972498238E+01     0.1028332171708721E+01
    0.8999876549387105E+01     0.1057086227559878E+01
    0.9172595859037258E+01     0.1086118259624281E+01
    0.9344906577409766E+01     0.1115427134189650E+01
    0.9516810371707709E+01     0.1145011727360745E+01
    0.9688308900129787E+01     0.1174870924939622E+01
    0.9859403811635527E+01     0.1205003622305635E+01
    0.1003009674572172E+02     0.1235408724295236E+01
    0.1020038933220967E+02     0.1266085145081641E+01
    0.1037028319104290E+02     0.1297031808054403E+01
    0.1053977993209491E+02     0.1328247645698965E+01
    0.1070888115498665E+02     0.1359731599476206E+01
    0.1087758844891342E+02     0.1391482619702061E+01
    0.1104590339248067E+02     0.1423499665427229E+01
    0.1121382755354858E+02     0.1455781704317021E+01
    0.1138136248908497E+02     0.1488327712531375E+01
    0.1154850974502622E+02     0.1521136674605080E+01
    0.1171527085614603E+02     0.1554207583328234E+01
    0.1188164734593152E+02     0.1587539439626962E+01
    0.1204764072646655E+02     0.1621131252444425E+01
    0.1221325249832190E+02     0.1654982038622147E+01
    0.1237848415045210E+02     0.1689090822781667E+01
    0.1254333716009856E+02     0.1723456637206556E+01
    0.1270781299269886E+02     0.1758078521724805E+01
    0.1287191310180186E+02     0.1792955523591601E+01
    0.1303563892898845E+02     0.1828086697372513E+01
    0.1319899190379771E+02     0.1863471104827099E+01
    0.1336197344365826E+02     0.1899107814792943E+01
    0.1352458495382455E+02     0.1934995903070138E+01
    0.1368682782731795E+02     0.1971134452306223E+01
    0.1384870344487240E+02     0.2007522551881584E+01
    0.1401021317488448E+02     0.2044159297795329E+01
    0.1417135837336763E+02     0.2081043792551637E+01
    0.1433214038391041E+02     0.2118175145046595E+01
    0.1449256053763873E+02     0.2155552470455527E+01
    0.1465262015318162E+02     0.2193174890120817E+01
    0.1481232053664065E+02     0.2231041531440231E+01
    0.1497166298156277E+02     0.2269151527755742E+01
    0.1513064876891636E+02     0.2307504018242859E+01
    0.1528927916707038E+02     0.2346098147800471E+01
    0.1544755543177660E+02     0.2384933066941189E+01
    0.1560547880615464E+02     0.2424007931682211E+01
    0.1576305052067977E+02     0.2463321903436695E+01
    0.1592027179317333E+02     0.2502874148905638E+01
    0.1607714382879573E+02     0.2542663839970284E+01
    0.1623366782004178E+02     0.2582690153585028E+01
    0.1638984494673846E+02     0.2622952271670850E+01
    0.1654567637604478E+02     0.2663449381009251E+01
    0.1670116326245394E+02     0.2704180673136708E+01
    0.1685630674779733E+02     0.2745145344239642E+01
    0.1701110796125073E+02     0.2786342595049894E+01
    0.1716556801934222E+02     0.2827771630740719E+01
    0.1731968802596198E+02     0.2869431660823289E+01
    0.1747346907237383E+02     0.2911321899043703E+01
    0.1762691223722848E+02     0.2953441563280516E+01
    0.1778001858657829E+02     0.2995789875442771E+01
    0.1793278917389371E+02     0.3038366061368545E+01
    0.1808522504008115E+02     0.3081169350724000E+01
    0.1823732721350231E+02     0.3124198976902953E+01
    0.1838909670999489E+02     0.3167454176926943E+01
    0.1854053453289469E+02     0.3210934191345823E+01
    0.1869164167305899E+02     0.3254638264138848E+01
    0.1884241910889117E+02     0.3298565642616287E+01
    0.1899286780636657E+02     0.3342715577321536E+01
