    0.0000000000000000E+00     0.0000000000000000E+00
    0.1256445262148015E+00     0.6287466833670721E-02
    0.2509879190549755E+00     0.1258436775530830E-01
    0.3760316063584587E+00     0.1889065751659647E-01
    0.5007770346162709E+00     0.2520629264940140E-01
    0.6252256680473982E+00     0.3153123143335600E-01
    0.7493789876833051E+00     0.3786543386303204E-01
    0.8732384904635547E+00     0.4420886161478715E-01
    0.9968056883438886E+00     0.5056147801336923E-01
    0.1120082107417991E+01     0.5692324799835591E-01
    0.1243069287054033E+01     0.6329413809050197E-01
    0.1365768779046989E+01     0.6967411635806334E-01
    0.1488182146787580E+01     0.7606315238316119E-01
    0.1610310964448620E+01     0.8246121722824559E-01
    0.1732156816189404E+01     0.8886828340271356E-01
    0.1853721295378713E+01     0.9528432482973205E-01
    0.1975006003836890E+01     0.1017093168133124E+00
    0.2096012551097374E+01     0.1081432360056788E+00
    0.2216742553687977E+01     0.1145860603749688E+00
    0.2337197634432135E+01     0.1210377691733019E+00
    0.2457379421770273E+01     0.1274983429052465E+00
    0.2577289549101381E+01     0.1339677632967132E+00
    0.2696929654144792E+01     0.1404460132643006E+00
    0.2816301378322168E+01     0.1469330768851138E+00
    0.2935406366159572E+01     0.1534289393670753E+00
    0.3054246264709506E+01     0.1599335870197446E+00
    0.3172822722992753E+01     0.1664470072256600E+00
    0.3291137391459781E+01     0.1729691884122140E+00
    0.3409191921471475E+01     0.1795001200240714E+00
    0.3526987964798929E+01     0.1860397924961375E+00
    0.3644527173141960E+01     0.1925881972270813E+00
    0.3761811197666038E+01     0.1991453265534169E+00
    0.3878841688557277E+01     0.2057111737241460E+00
    0.3995620294595103E+01     0.2122857328759600E+00
    0.4112148662742223E+01     0.2188689990090026E+00
    0.4228428437751502E+01     0.2254609679631892E+00
    0.4344461261789323E+01     0.2320616363950802E+00
    0.4460248774075028E+01     0.2386710017553038E+00
    0.4575792610536013E+01     0.2452890622665225E+00
    0.4691094403478039E+01     0.2519158169019371E+00
    0.4806155781270341E+01     0.2585512653643222E+00
    0.4920978368045096E+01     0.2651954080655834E+00
    0.5035563783410819E+01     0.2718482461068307E+00
    0.5149913642179251E+01     0.2785097812589562E+00
    0.5264029554105327E+01     0.2851800159437099E+00
    0.5377913123639773E+01     0.2918589532152618E+00
    0.5491565949693932E+01     0.2985465967422415E+00
    0.5604989625416398E+01     0.3052429507902443E+00
    0.5718185737981037E+01     0.3119480202047945E+00
    0.5831155868386011E+01     0.3186618103947532E+00
    0.5943901591263385E+01     0.3253843273161628E+00
    0.6056424474698951E+01     0.3321155774565144E+00
    0.6168726080061865E+01     0.3388555678194288E+00
    0.6280807961843743E+01     0.3456043059097401E+00
    0.6392671667506833E+01     0.3523617997189696E+00
    0.6504318737340923E+01     0.3591280577111814E+00
    0.6615750704328621E+01     0.3659030888092057E+00
    0.6726969094018680E+01     0.3726869023812221E+00
    0.6837975424407029E+01     0.3794795082276892E+00
    0.6948771205825194E+01     0.3862809165686124E+00
    0.7059357940835798E+01     0.3930911380311373E+00
    0.7169737124134826E+01     0.3999101836374591E+00
    0.7279910242460368E+01     0.4067380647930384E+00
    0.7389878774507563E+01     0.4135747932751112E+00
    0.7499644190849443E+01     0.4204203812214853E+00
    0.7609207953863430E+01     0.4272748411196118E+00
    0.7718571517663219E+01     0.4341381857959228E+00
    0.7827736328035792E+01     0.4410104284054248E+00
    0.7936703822383321E+01     0.4478915824215394E+00
    0.8045475429669727E+01     0.4547816616261823E+00
    0.8154052570371663E+01     0.4616806801000698E+00
    0.8262436656433710E+01     0.4685886522132465E+00
    0.8370629091227558E+01     0.4755055926158236E+00
